Team ,Conference ,PTS/G,PTS,Plays,THRW YDS,RUSH YDS,TTL YDS,YDS/Play,1st DWN,Made ,ATT,PCT,MADE,ATT,PCT,PEN,PEN YDS,TOP,TO DIFF,PLYOFF
Chiefs,AFC,29.2,496,1094,5250,1782,7032,6.4,408,94,193,48.7,50,72,69.4,87,838,30:18:00,-3,Yes
Eagles,NFC,28.1,477,1124,4364,2250,6614,5.9,385,102,222,45.9,40,59,67.8,90,682,31:33:00,8,Yes
Lions,NFC,26.6,453,1092,4444,2016,6460,5.9,376,86,211,40.8,45,68,66.2,90,773,30:55:00,7,No
Bills,AFC,28.4,455,1037,4291,2070,6361,6.1,367,97,193,50.3,35,58,60.3,92,709,30:51:00,0,Yes
49ers,NFC,26.5,450,1047,4049,2167,6216,5.9,347,95,211,45,34,63,54,94,730,32:54:00,13,Yes
Dolphins,AFC,23.4,397,1009,4765,1432,6197,6.1,342,71,196,36.2,30,50,60,111,881,29:20:00,-7,Yes
Vikings,NFC,24.9,424,1123,4818,1327,6145,5.5,382,93,226,41.2,40,64,62.5,88,689,30:01:00,2,Yes
Chargers,AFC,23,391,1154,4791,1317,6108,5.3,352,112,257,43.6,33,61,54.1,81,635,31:42:00,5,Yes
Jaguars,AFC,23.8,404,1072,4148,1927,6075,5.7,352,90,215,41.9,31,58,53.4,90,674,30:48:00,5,Yes
Cowboys,NFC,27.5,467,1114,3911,2123,6034,5.4,347,105,231,45.5,40,56,71.4,104,842,30:38:00,10,Yes
Raiders,AFC,23.2,395,1049,4182,1811,5993,5.7,343,83,208,39.9,23,47,48.9,113,932,31:45:00,-8,No
Seahawks,NFC,23.9,407,1044,4282,1694,5976,5.7,346,76,201,37.8,26,55,47.3,106,854,29:01:00,2,Yes
Browns,AFC,21.2,361,1116,3710,2224,5934,5.3,350,88,231,38.1,30,56,53.6,102,865,32:49:00,-1,No
Buccaneers,NFC,18.4,313,1159,4746,1148,5894,5.1,346,92,246,37.4,26,50,52,99,793,30:39:00,-2,Yes
Bengals,AFC,26.1,418,1053,4520,1248,5768,5.5,357,95,206,46.1,37,57,64.9,81,623,32:15:00,6,Yes
Ravens,AFC,20.6,350,1052,3202,2558,5760,5.5,337,91,218,41.7,27,59,45.8,82,678,31:10:00,4,Yes
Packers,NFC,21.8,370,1051,3890,1855,5745,5.5,334,79,200,39.5,28,54,51.9,89,747,32:55:00,2,No
Giants,NFC,21.5,365,1089,3431,2245,5676,5.2,352,78,212,36.8,31,49,63.3,106,827,31:31:00,3,Yes
Saints,NFC,19.4,330,1015,3969,1705,5674,5.6,305,88,219,40.2,25,48,52.1,99,841,30:31:00,-11,No
Commanders,NFC,18.9,321,1140,3783,1832,5615,4.9,339,81,230,35.2,24,47,51.1,92,805,33:22:00,-5,No
Broncos,AFC,16.9,287,1078,4007,1520,5527,5.1,300,67,230,29.1,20,36,55.6,113,970,30:57:00,-1,No
Cardinals,NFC,20,340,1144,3966,1533,5499,4.8,326,82,233,35.2,25,44,56.8,118,916,30:14:00,-5,No
Steelers,AFC,18.1,308,1109,3661,1827,5488,4.9,345,106,236,44.9,27,52,51.9,94,711,32:31:00,4,No
Falcons,NFC,21.5,365,1011,2927,2490,5417,5.4,330,82,196,41.8,30,54,55.6,68,594,30:02:00,-4,No
Jets,AFC,17.4,296,1074,4040,1369,5409,5,294,83,240,34.6,20,46,43.5,91,866,29:44:00,-7,No
Patriots,AFC,21.4,364,1006,3815,1533,5348,5.3,288,75,215,34.9,19,45,42.2,104,841,29:11:00,7,No
Colts,AFC,17,289,1103,3854,1444,5298,4.8,310,75,228,32.9,22,48,45.8,89,794,31:37:00,-13,No
Bears,NFC,19.2,326,993,2598,2636,5234,5.3,278,90,220,40.9,28,50,56,80,754,30:31:00,-2,No
Panthers,NFC,20.4,347,976,3246,1960,5206,5.3,281,64,202,31.7,26,46,56.5,104,862,29:33:00,-4,No
Titans,AFC,17.5,298,992,3227,1818,5045,5.1,277,80,219,36.5,27,42,64.3,111,957,30:30:00,-3,No
Texans,AFC,17,289,1015,3642,1178,4820,4.7,277,67,221,30.3,23,48,47.9,88,648,29:50:00,-1,No
Rams,NFC,18.1,307,1001,3506,1263,4769,4.8,293,83,211,39.3,25,45,55.6,76,655,30:48:00,-1,No
